farmerId,farmerLocation,farmerAge,farmerMonthlyIncome,_crops
1,Dhaka,45,13220,9
2,Chittagong,47,13440,7
3,Dhaka,49,13660,5
4,Jessore,51,13880,3
5,Dhaka,53,14100,1
6,Chittagong,55,14320,9
7,Dhaka,57,14540,7
8,Jessore,59,14760,5
9,Jamalpur,61,14980,3
10,Khulna,63,15200,1
11,Kushtia,51,15420,8
12,Rangpur,53,15640,6
13,Jamalpur,55,15860,4
14,Khulna,57,16080,2
15,Kushtia,59,16300,8
16,Rangpur,61,16520,6
17,Dhaka,63,16740,4
18,Jessore,65,16960,2
19,Chittagong,67,17180,9
20,Dhaka,69,27500,7
21,Dhaka,45,28500,5
22,Chittagong,47,26500,3
23,Dhaka,49,26500,1
24,Jessore,51,26000,9
25,Dhaka,53,25500,7
26,Chittagong,55,25000,5
27,Dhaka,57,24500,3
28,Jessore,59,24000,1
29,Jamalpur,61,23500,8
30,Khulna,63,23000,6
31,Kushtia,55,22500,4
32,Rangpur,53,22000,2
33,Jamalpur,51,36230,8
34,Khulna,49,39230,6
35,Kushtia,47,42230,4
36,Rangpur,45,45230,2
37,Dhaka,43,48230,1
38,Jessore,41,51230,2
39,Chittagong,39,54230,3
40,Dhaka,37,57230,4
41,Kushtia,35,51250,5
42,Rangpur,33,51500,6
43,Jamalpur,31,51750,7
44,Khulna,29,52000,8
45,Kushtia,27,52250,9
46,Rangpur,25,52500,5
47,Dhaka,23,52750,4
48,Jessore,21,53000,3
49,Chittagong,19,53250,2
50,Dhaka,17,53500,1
51,Dhaka,14,25150,2
52,Chittagong,15,25200,3
53,Dhaka,16,25250,1
54,Jessore,17,25300,2
55,Dhaka,18,25350,3
56,Chittagong,19,25400,1
57,Dhaka,20,25450,2
58,Jessore,21,25500,3
59,Jamalpur,22,25550,1
60,Khulna,23,25600,2
61,Kushtia,24,25650,3
62,Rangpur,25,25700,1
63,Jamalpur,26,25750,2
64,Khulna,27,25800,3
65,Kushtia,28,25850,1
66,Rangpur,29,25900,2
67,Dhaka,30,25950,3
68,Jessore,31,26000,1
69,Chittagong,32,26050,2
70,Dhaka,33,26100,3
71,Dhaka,34,26150,1
72,Chittagong,35,26200,2
73,Dhaka,36,26250,3
74,Jessore,37,26300,1
75,Dhaka,38,26350,2
76,Chittagong,39,26400,3
77,Dhaka,40,26450,8
78,Jessore,41,26500,6
79,Jamalpur,42,26550,4
80,Khulna,43,26600,8
81,Kushtia,44,26650,6
82,Rangpur,45,26700,4
83,Jamalpur,46,26750,8
84,Khulna,47,26800,6
85,Kushtia,48,26850,4
86,Rangpur,49,26900,8
87,Dhaka,50,26950,6
88,Jessore,51,27000,4
89,Chittagong,52,27050,8
90,Dhaka,53,27100,6
91,Kushtia,54,27150,4
92,Rangpur,55,27200,8
93,Jamalpur,56,27250,6
94,Khulna,57,27300,4
95,Kushtia,58,27350,8
96,Rangpur,59,27400,6
97,Dhaka,60,27450,4
98,Jessore,14,27500,8
99,Chittagong,15,27550,6
100,Dhaka,16,27600,4
101,Dhaka,17,27650,8
102,Chittagong,18,27700,6
103,Dhaka,19,27750,4
104,Jessore,20,27800,8
105,Dhaka,21,27850,6
106,Chittagong,22,27900,4
107,Dhaka,23,27950,8
108,Jessore,24,28000,6
109,Jamalpur,25,28050,4
110,Khulna,26,28100,8
111,Kushtia,27,28150,6
112,Rangpur,28,28200,4
113,Jamalpur,29,28250,8
114,Khulna,30,28300,6
115,Kushtia,31,28350,4
